cosmos_id,n_chimeras,representative_chimera_id,host_ra_deg,host_dec_deg,host_redshift,service,catalog_label,catalog_id,rank,match_ra_deg,match_dec_deg,separation_arcsec,match_redshift,delta_redshift,redshift_consistent,source_id,quality,ra_column,dec_column,redshift_column
669714,2,152337.07+154801.5_669714_0.3,150.1896759143066,2.316031711369254,0.7519000172615051,vizier,COSMOS_Ilbert2013_zspec,J/ApJS/206/8,1,150.18967,2.3160295,0.02271484553590785,nan,nan,,,,RAJ2000,DEJ2000,zsp
923098,5,135915.86+120109.1_923098_0.003,150.13454302518926,2.6999130231252897,0.35499998927116394,vizier,zCOSMOS_Lilly2007,J/ApJS/172/70/zcosmos3,1,150.134537,2.699899,0.0549363299656789,nan,nan,,845798,,RAJ2000,DEJ2000,z
923098,5,135915.86+120109.1_923098_0.003,150.13454302518926,2.6999130231252897,0.35499998927116394,vizier,COSMOS_Ilbert2013_zspec,J/ApJS/206/8,1,150.13455,2.6999087,0.029517684798505008,nan,nan,,,,RAJ2000,DEJ2000,zsp
915587,3,080320.08+252602.4_915587_0.003,149.50627951157267,2.68759314853932,0.47099998593330383,vizier,zCOSMOS_Lilly2007,J/ApJS/172/70/zcosmos3,1,149.506271,2.687569,0.09216559207762173,0.47049999237060547,-0.0004999935626983643,True,848682,4.5,RAJ2000,DEJ2000,z
915587,3,080320.08+252602.4_915587_0.003,149.50627951157267,2.68759314853932,0.47099998593330383,vizier,COSMOS_Ilbert2013_zspec,J/ApJS/206/8,1,149.50629,2.6875942,0.0379062745482323,0.471,1.4066696141235013e-08,True,848682,4.5,RAJ2000,DEJ2000,zsp
927917,5,141240.41+164831.7_927917_0.001,149.990973050978,2.7085261518525603,1.0920000076293945,vizier,COSMOS_Ilbert2013_zspec,J/ApJS/206/8,1,149.99101,2.7085211,0.1341067807239652,nan,nan,,,,RAJ2000,DEJ2000,zsp
943655,11,161736.10+131413.7_943655_0.3,150.05035073368282,2.7341503137013357,0.8059999942779541,vizier,COSMOS_Ilbert2013_zspec,J/ApJS/206/8,1,150.05035,2.7341461,0.015397038204165357,nan,nan,,,,RAJ2000,DEJ2000,zsp
587285,3,084404.20+413803.8_587285_0.0001,149.8393627464939,2.1934192023189865,1.7402000427246094,vizier,COSMOS_Ilbert2013_zspec,J/ApJS/206/8,1,149.83937,2.1934166,0.027724288285105612,nan,nan,,,,RAJ2000,DEJ2000,zsp
432099,1,080409.24+385348.8_432099_0.0003,150.55995647425726,1.9491856007384945,0.218299999833107,vizier,zCOSMOS_Lilly2007,J/ApJS/172/70/zcosmos3,1,150.559952,1.949194,0.03425554871490155,0.21789999306201935,-0.0004000067710876465,True,809955,3.5,RAJ2000,DEJ2000,z
432099,1,080409.24+385348.8_432099_0.0003,150.55995647425726,1.9491856007384945,0.218299999833107,vizier,COSMOS_Ilbert2013_zspec,J/ApJS/206/8,1,150.55995,1.9492162,0.11259326290560238,nan,nan,,,,RAJ2000,DEJ2000,zsp
