cosmos_id,n_chimeras,representative_chimera_id,host_ra_deg,host_dec_deg,host_redshift,service,catalog_label,catalog_id,rank,match_ra_deg,match_dec_deg,separation_arcsec,match_redshift,delta_redshift,redshift_consistent,source_id,quality,ra_column,dec_column,redshift_column,best_match
283593,3,083000.35+343238.7_283593_0.3,150.162406237291,1.7144864482213287,0.7426000237464905,vizier,COSMOS_Ilbert2013_zspec,J/ApJS/206/8,1,150.16241,1.7144948,0.032974410691605005,nan,nan,,,,RAJ2000,DEJ2000,zsp,True
286076,2,110022.09+645812.9_286076_0.03,150.24219263716546,1.7180018626583966,0.8697999715805054,vizier,zCOSMOS_Lilly2007,J/ApJS/172/70/zcosmos3,1,150.242188,1.718028,0.09556251377320193,0.8691999912261963,-0.000599980354309082,True,805011,3.5,RAJ2000,DEJ2000,z,True
286089,2,023044.94-093123.0_286089_0.1,149.83692371065297,1.7182657208633396,0.7627999782562256,vizier,zCOSMOS_Lilly2007,J/ApJS/172/70/zcosmos3,1,149.836914,1.718255,0.052063133600886845,0.7621999979019165,-0.000599980354309082,True,806868,3.5,RAJ2000,DEJ2000,z,True
288499,1,084200.76+333214.8_288499_1,150.44501314749266,1.7218031483267404,0.9704999923706055,vizier,zCOSMOS_Lilly2007,J/ApJS/172/70/zcosmos3,1,150.445007,1.721797,0.03129298203654727,0.9697999954223633,-0.0006999969482421875,True,804163,4.5,RAJ2000,DEJ2000,z,True
289367,1,084154.05+231954.7_289367_0.3,150.07725479659715,1.7249476500678977,1.1837999820709229,vizier,COSMOS_Ilbert2013_zspec,J/ApJS/206/8,1,150.07726,1.7249647,0.0641720627906106,nan,nan,,,,RAJ2000,DEJ2000,zsp,True
289636,1,155757.20+052056.7_289636_0.03,150.66923131879255,1.7253735317558136,0.7490000128746033,vizier,zCOSMOS_Lilly2007,J/ApJS/172/70/zcosmos3,1,150.669235,1.725381,0.029971740374172866,0.7483999729156494,-0.0006000399589538574,True,803405,3.5,RAJ2000,DEJ2000,z,True
290719,4,151931.99+362025.2_290719_0.003,150.28848935809174,1.7278728328796873,1.3589999675750732,vizier,COSMOS_Ilbert2013_zspec,J/ApJS/206/8,1,150.2885,1.7278877,0.06580998045014035,nan,nan,,,,RAJ2000,DEJ2000,zsp,True
294368,3,083257.57+264528.1_294368_0.01,150.46011322248242,1.7343878024113815,2.723099946975708,vizier,COSMOS_Ilbert2013_zspec,J/ApJS/206/8,1,150.4601,1.7344496,0.22750222257952968,nan,nan,,,,RAJ2000,DEJ2000,zsp,True
295279,1,165641.50+372639.7_295279_0.1,149.93389575967987,1.7333709340583534,0.48080000281333923,vizier,zCOSMOS_Lilly2007,J/ApJS/172/70/zcosmos3,1,149.933899,1.733386,0.05547653325612126,0.48030000925064087,-0.0004999935626983643,True,806480,3.5,RAJ2000,DEJ2000,z,True
295487,1,160553.99+374031.2_295487_1,150.10706577198243,1.7354200415196235,2.7832000255584717,vizier,COSMOS_Ilbert2013_zspec,J/ApJS/206/8,1,150.10707,1.7354228,0.018168038254260378,nan,nan,,,,RAJ2000,DEJ2000,zsp,True
