row_index,object_id,ID_COSMOS,COSMOS_ID0,luminosity_bin,log_stellar_mass_truth,recovered_logm,logm16,logm84,residual_log_ratio,residual_errorbar_distance_dex,errorbar_y_min,errorbar_y_max,abs_residual_log_ratio,residual_rank_in_bin
2598,085934.43+201006.3_922277_0.003,922277,922277,42 < L < 43,10.7506,7.436871122539135,6.113872040099453,8.034006525809815,-3.313728877460865,2.7165934741901854,-4.636727959900547,-2.7165934741901854,3.313728877460865,10
4664,163337.53+420652.8_922277_0.003,922277,922277,42 < L < 43,10.7506,7.441356505782766,6.332357933333184,7.988344431832431,-3.309243494217234,2.762255568167569,-4.418242066666815,-2.762255568167569,3.309243494217234,11
4305,160402.93+142222.7_922277_0.003,922277,922277,42 < L < 43,10.7506,7.445655951508751,6.201999047652141,7.959605454993475,-3.304944048491249,2.7909945450065257,-4.54860095234786,-2.7909945450065257,3.304944048491249,12
2698,091001.80+634537.4_922277_0.001,922277,922277,42 < L < 43,10.7506,7.456945660376038,6.375585379186669,7.991295379953224,-3.293654339623963,2.759304620046777,-4.375014620813332,-2.759304620046777,3.293654339623963,13
3323,143503.06+230300.9_922277_0.003,922277,922277,42 < L < 43,10.7506,7.457426107306534,6.540265585781008,7.995455205321463,-3.293173892693466,2.7551447946785377,-4.210334414218992,-2.7551447946785377,3.293173892693466,14
1859,075651.50+321007.6_922277_0.001,922277,922277,42 < L < 43,10.7506,7.464224757792333,6.6859457535010485,8.03960888152363,-3.286375242207667,2.710991118476369,-4.064654246498951,-2.710991118476369,3.286375242207667,15
4632,163020.78+375656.4_922277_0.001,922277,922277,42 < L < 43,10.7506,7.465801153837772,6.506468359570475,8.003305941835746,-3.2847988461622286,2.747294058164254,-4.244131640429526,-2.747294058164254,3.2847988461622286,16
2196,082531.78+345751.8_922277_0.0003,922277,922277,42 < L < 43,10.7506,7.4890917963240735,6.103227322747003,8.07744971573321,-3.261508203675927,2.673150284266791,-4.6473726772529975,-2.673150284266791,3.261508203675927,17
4130,155253.29+294805.6_922277_0.003,922277,922277,42 < L < 43,10.7506,7.494239513080988,6.499824333683972,8.011347405455783,-3.2563604869190126,2.739252594544217,-4.250775666316028,-2.739252594544217,3.2563604869190126,18
3727,151531.01+155529.7_922277_0.003,922277,922277,42 < L < 43,10.7506,7.503367761423398,6.389225018765676,8.077360853479766,-3.2472322385766024,2.6732391465202348,-4.3613749812343245,-2.6732391465202348,3.2472322385766024,19
4661,163315.05+315510.3_922277_0.003,922277,922277,42 < L < 43,10.7506,7.504707018115392,6.209661726447719,8.063324036424564,-3.2458929818846087,2.687275963575436,-4.540938273552281,-2.687275963575436,3.2458929818846087,20
4304,160402.93+142222.7_922277_0.001,922277,922277,42 < L < 43,10.7506,7.507198008787178,6.5172099766669325,8.056461674456772,-3.2434019912128225,2.6941383255432285,-4.233390023333068,-2.6941383255432285,3.2434019912128225,21
3297,143223.80-014823.1_922277_0.003,922277,922277,42 < L < 43,10.7506,7.508052829246981,6.27539310775897,8.066216745860457,-3.242547170753019,2.6843832541395427,-4.4752068922410295,-2.6843832541395427,3.242547170753019,22
3462,144959.84+062735.9_922124_0.001,922124,922124,42 < L < 43,10.1193,6.879358236864613,5.132687075127233,7.466400754356027,-3.239941763135388,2.6528992456439746,-4.986612924872768,-2.6528992456439746,3.239941763135388,23
4108,155100.81+241153.0_922277_0.001,922277,922277,42 < L < 43,10.7506,7.511907088534018,6.35180397089366,8.072390264427842,-3.238692911465982,2.6782097355721586,-4.39879602910634,-2.6782097355721586,3.238692911465982,24
4523,162004.69+260326.3_922124_0.003,922124,922124,42 < L < 43,10.1193,6.883610196877661,6.881654017826133,6.884621268324863,-3.23568980312234,3.234678731675138,-3.237645982173868,-3.234678731675138,3.23568980312234,25
2185,082439.10+090857.6_922277_0.003,922277,922277,42 < L < 43,10.7506,7.517852542519189,6.244421913303482,8.037087932107271,-3.2327474574808117,2.71351206789273,-4.506178086696519,-2.71351206789273,3.2327474574808117,26
1659,073718.67+290921.6_922124_0.0003,922124,922124,42 < L < 43,10.1193,6.91444298913984,5.2084336018950985,7.659121947174992,-3.2048570108601613,2.4601780528250092,-4.910866398104902,-2.4601780528250092,3.2048570108601613,27
3459,144959.65+191204.3_922277_0.003,922277,922277,42 < L < 43,10.7506,7.549431715677677,6.337998653019954,8.015248504798938,-3.201168284322323,2.735351495201062,-4.412601346980046,-2.735351495201062,3.201168284322323,28
2034,081109.38+172928.9_922124_0.001,922124,922124,42 < L < 43,10.1193,6.924906742604286,5.469561679689945,7.463037496271177,-3.1943932573957152,2.656262503728824,-4.649738320310056,-2.656262503728824,3.1943932573957152,29
2563,085618.74+333500.8_922277_0.001,922277,922277,42 < L < 43,10.7506,7.561832943159221,6.532091341796691,8.15725654047957,-3.1887670568407795,2.5933434595204297,-4.21850865820331,-2.5933434595204297,3.1887670568407795,30
4218,155846.72+223549.6_922124_0.0003,922124,922124,42 < L < 43,10.1193,6.935105034577005,5.320453500573857,7.446841394125522,-3.1841949654229955,2.6724586058744793,-4.798846499426144,-2.6724586058744793,3.1841949654229955,31
3485,145207.96+222945.8_922277_0.003,922277,922277,42 < L < 43,10.7506,7.569275886395757,6.650935901305281,8.100878769333749,-3.1813241136042434,2.649721230666252,-4.09966409869472,-2.649721230666252,3.1813241136042434,32
4303,160345.75+481458.3_922124_0.001,922124,922124,42 < L < 43,10.1193,6.938743301218915,5.213910746396042,7.583528885775452,-3.1805566987810856,2.5357711142245485,-4.905389253603959,-2.5357711142245485,3.1805566987810856,33
4101,155046.30+205803.1_922124_0.0003,922124,922124,42 < L < 43,10.1193,6.941803510859328,5.285206250295896,7.508631330900183,-3.1774964891406725,2.6106686690998178,-4.834093749704105,-2.6106686690998178,3.1774964891406725,34
3596,150213.46+113830.0_922277_0.001,922277,922277,42 < L < 43,10.7506,7.580032837723976,6.7422159370443975,8.096778043715565,-3.1705671622760248,2.6538219562844354,-4.008384062955603,-2.6538219562844354,3.1705671622760248,35
2635,090226.34+243048.7_763682_0.003,763682,763682,42 < L < 43,10.8411,7.67067213318847,7.670622489276366,7.670711434052119,-3.170427866811531,3.1703885659478814,-3.170477510723635,-3.1703885659478814,3.170427866811531,36
3070,134920.41-023537.4_922277_0.003,922277,922277,42 < L < 43,10.7506,7.582518787917664,6.471547660811344,8.109845354961939,-3.1680812120823365,2.6407546450380615,-4.279052339188657,-2.6407546450380615,3.1680812120823365,37
