status,chimera_id,row_index,cosmos_id,dr7q_spectrum_id,chimera_redshift,dr7q_redshift,chimera_qso_weight,source_spectrum_path,reason
rejected,162816.24+251340.7_840398_0.003,19352,840398,1573-53226-482,3.393199920654297,3.3860000000000006,0.003,/home/nicho/GRAHSP_my/My-AGN-research-repository/spectra_workflow/outputs/all_chimera_spectra/spectra/162816.24+251340.7_840398_0.003_spectrum.ecsv,ValueError: median spectrum/photometry scale 3963.38 is outside allowed range
rejected,084847.98+464717.3_836526_0.001,19353,836526,763-52235-523,2.795599937438965,2.7871,0.001,/home/nicho/GRAHSP_my/My-AGN-research-repository/spectra_workflow/outputs/all_chimera_spectra/spectra/084847.98+464717.3_836526_0.001_spectrum.ecsv,ValueError: median spectrum/photometry scale 5.50342 is outside allowed range
rejected,084949.97+095033.7_836526_0.0003,19355,836526,1760-53086-408,2.795599937438965,2.8055000000000003,0.0003,/home/nicho/GRAHSP_my/My-AGN-research-repository/spectra_workflow/outputs/all_chimera_spectra/spectra/084949.97+095033.7_836526_0.0003_spectrum.ecsv,ValueError: median spectrum/photometry scale 5.84089 is outside allowed range
rejected,151918.86+155115.3_836526_0.001,19363,836526,2781-54266-302,2.795599937438965,2.8004000000000002,0.001,/home/nicho/GRAHSP_my/My-AGN-research-repository/spectra_workflow/outputs/all_chimera_spectra/spectra/151918.86+155115.3_836526_0.001_spectrum.ecsv,ValueError: median spectrum/photometry scale 5.03139 is outside allowed range
rejected,173100.43+572212.3_836526_0.0003,19368,836526,358-51818-420,2.795599937438965,2.8002000000000002,0.0003,/home/nicho/GRAHSP_my/My-AGN-research-repository/spectra_workflow/outputs/all_chimera_spectra/spectra/173100.43+572212.3_836526_0.0003_spectrum.ecsv,ValueError: median spectrum/photometry scale 5.24603 is outside allowed range
rejected,151625.68+325207.9_840398_0.003,19370,840398,1386-53116-188,3.393199920654297,3.3922000000000003,0.003,/home/nicho/GRAHSP_my/My-AGN-research-repository/spectra_workflow/outputs/all_chimera_spectra/spectra/151625.68+325207.9_840398_0.003_spectrum.ecsv,ValueError: median spectrum/photometry scale 4373.87 is outside allowed range
rejected,145924.24+340113.1_836526_0.0003,19377,836526,1384-53121-214,2.795599937438965,2.7898000000000005,0.0003,/home/nicho/GRAHSP_my/My-AGN-research-repository/spectra_workflow/outputs/all_chimera_spectra/spectra/145924.24+340113.1_836526_0.0003_spectrum.ecsv,ValueError: median spectrum/photometry scale 5.20522 is outside allowed range
rejected,152339.56+123813.9_836526_0.0001,19509,836526,2753-54234-555,2.795599937438965,2.7917000000000005,0.0001,/home/nicho/GRAHSP_my/My-AGN-research-repository/spectra_workflow/outputs/all_chimera_spectra/spectra/152339.56+123813.9_836526_0.0001_spectrum.ecsv,ValueError: median spectrum/photometry scale 6.06352 is outside allowed range
rejected,144051.89+063709.6_840398_0.001,19513,840398,1828-53504-622,3.393199920654297,3.3863000000000003,0.001,/home/nicho/GRAHSP_my/My-AGN-research-repository/spectra_workflow/outputs/all_chimera_spectra/spectra/144051.89+063709.6_840398_0.001_spectrum.ecsv,ValueError: median spectrum/photometry scale 6279.7 is outside allowed range
rejected,154322.60+360243.9_836526_0.0003,19523,836526,1416-52875-318,2.795599937438965,2.7869,0.0003,/home/nicho/GRAHSP_my/My-AGN-research-repository/spectra_workflow/outputs/all_chimera_spectra/spectra/154322.60+360243.9_836526_0.0003_spectrum.ecsv,ValueError: median spectrum/photometry scale 5.60149 is outside allowed range
rejected,031331.22-070422.8_836526_0.0003,19530,836526,459-51924-490,2.795599937438965,2.7865,0.0003,/home/nicho/GRAHSP_my/My-AGN-research-repository/spectra_workflow/outputs/all_chimera_spectra/spectra/031331.22-070422.8_836526_0.0003_spectrum.ecsv,ValueError: median spectrum/photometry scale 5.79571 is outside allowed range
rejected,083447.34+571010.1_836526_0.0003,19535,836526,1784-54425-268,2.795599937438965,2.7997000000000005,0.0003,/home/nicho/GRAHSP_my/My-AGN-research-repository/spectra_workflow/outputs/all_chimera_spectra/spectra/083447.34+571010.1_836526_0.0003_spectrum.ecsv,ValueError: median spectrum/photometry scale 5.93547 is outside allowed range
rejected,031331.22-070422.8_836526_0.0001,19549,836526,459-51924-490,2.795599937438965,2.7865,0.0001,/home/nicho/GRAHSP_my/My-AGN-research-repository/spectra_workflow/outputs/all_chimera_spectra/spectra/031331.22-070422.8_836526_0.0001_spectrum.ecsv,ValueError: median spectrum/photometry scale 6.63403 is outside allowed range
