dr7q_plate,dr7q_mjd,dr7q_fiber
889,52663,355
889,52663,557
889,52663,571
889,52663,602
890,52583,158
890,52583,286
890,52583,436
890,52583,488
890,52583,589
890,52583,634
891,52584,352
891,52584,510
891,52584,588
891,52584,639
892,52378,5
892,52378,275
892,52378,286
892,52378,395
893,52589,333
894,52615,21
894,52615,86
894,52615,197
894,52615,219
894,52615,444
895,52581,39
895,52581,202
895,52581,203
895,52581,205
895,52581,359
895,52581,483
895,52581,588
896,52592,137
896,52592,235
896,52592,302
896,52592,471
896,52592,585
896,52592,630
897,52605,85
897,52605,212
897,52605,341
898,52606,16
898,52606,362
899,52620,184
900,52637,335
900,52637,464
901,52641,33
901,52641,102
901,52641,232
901,52641,570
901,52641,578
902,52409,126
902,52409,189
902,52409,287
902,52409,455
902,52409,480
902,52409,499
902,52409,585
903,52400,367
903,52400,378
903,52400,420
903,52400,532
911,52426,524
912,52427,52
912,52427,555
913,52433,132
913,52433,380
913,52433,464
913,52433,615
913,52433,625
914,52721,74
914,52721,235
914,52721,331
914,52721,396
914,52721,609
914,52721,636
915,52443,93
915,52443,232
915,52443,568
915,52443,579
915,52443,621
916,52378,113
916,52378,328
916,52378,381
916,52378,434
916,52378,507
916,52378,510
917,52400,381
918,52404,216
918,52404,263
918,52404,580
918,52404,628
919,52409,466
919,52409,481
919,52409,595
920,52411,116
920,52411,258
920,52411,321
920,52411,325
920,52411,432
920,52411,504
920,52411,515
920,52411,584
921,52380,78
921,52380,136
921,52380,140
921,52380,177
921,52380,317
921,52380,578
922,52426,283
922,52426,362
922,52426,389
922,52426,403
922,52426,468
922,52426,473
923,52404,125
923,52404,634
924,52409,177
924,52409,231
924,52409,388
924,52409,632
925,52411,163
925,52411,258
925,52411,271
926,52413,134
926,52413,491
926,52413,555
927,52577,3
927,52577,70
927,52577,585
928,52578,232
928,52578,380
928,52578,486
928,52578,510
928,52578,596
928,52578,616
929,52581,568
930,52618,80
930,52618,125
930,52618,135
930,52618,228
930,52618,401
930,52618,437
931,52619,56
931,52619,256
931,52619,483
932,52620,22
932,52620,180
932,52620,339
932,52620,441
932,52620,473
932,52620,631
933,52642,273
933,52642,550
933,52642,592
934,52672,165
934,52672,636
935,52643,20
935,52643,89
935,52643,130
935,52643,381
935,52643,453
935,52643,503
935,52643,629
936,52705,115
936,52705,317
936,52705,326
936,52705,332
936,52705,483
936,52705,498
936,52705,564
937,52707,55
937,52707,226
937,52707,230
937,52707,492
937,52707,569
938,52708,39
938,52708,91
938,52708,254
938,52708,272
938,52708,390
939,52636,59
939,52636,456
940,52670,234
940,52670,324
940,52670,344
940,52670,385
940,52670,389
940,52670,391
945,52652,367
945,52652,411
945,52652,418
945,52652,436
945,52652,602
946,52407,330
946,52407,391
947,52411,480
972,52435,338
972,52435,363
972,52435,434
972,52435,472
972,52435,602
973,52426,6
973,52426,36
973,52426,107
973,52426,112
973,52426,150
973,52426,207
973,52426,517
974,52427,54
974,52427,335
974,52427,507
974,52427,554
974,52427,561
974,52427,589
975,52411,272
975,52411,341
975,52411,367
975,52411,526
975,52411,540
976,52413,2
976,52413,245
976,52413,271
976,52413,306
976,52413,374
976,52413,393
976,52413,541
977,52410,164
977,52410,355
978,52441,25
978,52441,321
978,52441,332
978,52441,492
978,52441,560
978,52441,633
979,52427,91
979,52427,428
979,52427,547
980,52431,112
980,52431,419
980,52431,545
980,52431,592
1005,52703,121
1005,52703,212
1005,52703,366
1005,52703,445
1005,52703,605
1006,52708,344
1051,52468,277
1051,52468,553
1052,52466,4
1052,52466,26
1052,52466,626
1053,52468,306
1053,52468,322
1053,52468,636
1054,52516,166
1054,52516,516
1054,52516,556
1054,52516,625
1055,52761,249
1055,52761,336
1056,52764,329
1056,52764,549
1056,52764,603
1056,52764,620
1056,52764,623
1056,52764,630
1057,52522,254
1058,52520,20
1058,52520,210
1058,52520,289
1059,52618,244
1059,52618,453
1060,52636,467
1060,52636,553
1061,52641,584
1061,52641,617
1061,52641,627
1062,52619,138
1063,52591,421
1070,52591,241
1072,52643,137
1072,52643,372
1073,52649,532
1150,52644,297
1150,52644,576
1167,52738,46
1167,52738,229
1168,52731,39
1168,52731,246
1169,52753,259
1169,52753,398
1170,52756,101
1170,52756,131
1170,52756,195
1170,52756,461
1170,52756,489
1171,52753,416
1172,52759,135
1172,52759,271
1172,52759,472
1173,52790,1
1173,52790,304
1173,52790,422
1173,52790,463
1174,52782,478
1174,52782,539
1175,52791,257
