status,row_index,chimera_id,cosmos_id,dr7q_spectrum_id,dr7q_plate,dr7q_mjd,dr7q_fiber,dr7q_requested_key,dr7q_matched_key,qso_key_was_remapped,qso_match_source,qso_missing_reason,qso_coordinate_sep_arcsec,qso_ra_deg,qso_dec_deg,qso_catalog_name,qso_catalog_oname,qso_catalog_ra_deg,qso_catalog_dec_deg,qso_catalog_plate,qso_catalog_smjd,qso_catalog_rmjd,qso_catalog_fiber,chimera_redshift,galaxy_spectroscopic_redshift,dr7q_redshift,chimera_qso_weight,galaxy_ra_deg,galaxy_dec_deg,galaxy_match_source,n_explicit_galaxy_paths,n_header_galaxy_paths,n_coordinate_galaxy_paths,n_combined_galaxy_paths,coordinate_sep_arcsec,coordinate_zcosmos_object,galaxy_spectrum_path,dr7q_spectrum_path
missing_galaxy,36,141240.41+164831.7_927917_0.001,927917,2745-54231-526,2745,54231,526,2745-54231-526,2745-54231-526,False,exact_plate_mjd_fiber,,nan,213.16837999999998,16.808809999999998,141240.41+164831.7,,213.168383,16.808809,2745,54231,53499,526,1.0920000076293945,1.0920000076293945,1.0959,0.001,149.990973050978,2.7085261518525603,none,0,0,0,0,7.872633608474632,,,/home/nicho/GRAHSP_my/data/dr7q_spectra/spec-2745-54231-0526.fits
missing_galaxy,37,161736.10+131413.7_943655_0.3,943655,2530-53881-342,2530,53881,342,2530-53881-342,2530-53881-342,False,exact_plate_mjd_fiber,,nan,244.40041999999997,13.237159999999998,161736.10+131413.7,,244.400419,13.237163,2530,53881,53170,342,0.8059999942779541,0.8059999942779541,0.8006000000000001,0.3,150.05035073368282,2.7341503137013357,none,0,0,0,0,31.57626199144805,,,/home/nicho/GRAHSP_my/data/dr7q_spectra/spec-2530-53881-0342.fits
missing_both,38,084404.20+413803.8_587285_0.0001,587285,896-52592-137,896,52592,137,896-52592-137,896-52592-137,False,none,catalog_match_but_spectrum_not_downloaded_locally,nan,131.01749999999998,41.63439999999999,084404.20+413803.8,SDSS J084404.19+413803.8,131.017502,41.634394,896,52592,52262,137,1.7402000427246094,1.7402000427246094,1.7454000000000003,0.0001,149.8393627464939,2.1934192023189865,none,0,0,0,0,15.648647685525502,,,
missing_both,39,161815.53+370103.8_433407_0.001,433407,1056-52764-623,1056,52764,623,1056-52764-623,1056-52764-623,False,none,catalog_match_but_spectrum_not_downloaded_locally,nan,244.56472999999997,37.01774999999999,161815.53+370103.8,2MASSi J1618155+370103,244.564733,37.017747,1056,52764,52402,623,2.505500078201294,2.505500078201294,2.4964000000000004,0.001,149.64876683424174,1.9548413738815056,none,0,0,0,0,20.754178649385295,,,
matched,40,080409.24+385348.8_432099_0.0003,432099,544-52201-33,544,52201,33,544-52201-33,544-52201-33,False,exact_plate_mjd_fiber,,nan,121.03850999999999,38.89688999999999,080409.24+385348.8,FBQS J0804+3853,121.038509,38.89689,544,52201,51874,33,0.218299999833107,0.218299999833107,0.21140000000000003,0.0003,150.55995647425726,1.9491856007384945,coordinate_fallback,0,0,1,1,0.034255548714743185,809955,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_47_46.427.fits,/home/nicho/GRAHSP_my/data/dr7q_spectra/spec-544-52201-0033.fits
missing_dr7q,41,164806.79+272658.8_436135_0.01,436135,1691-53260-383,1691,53260,383,1691-53260-383,1691-53260-383,False,none,catalog_match_but_spectrum_not_downloaded_locally,nan,252.02828999999997,27.449669999999998,164806.79+272658.8,SDSS J164806.79+272658.7,252.028295,27.449669,1691,53260,52758,383,0.5309000015258789,0.5309000015258789,0.5362,0.01,149.59586284362507,1.9562206511302702,coordinate_fallback,0,0,1,1,0.10322691086182992,814273,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_52_24.793.fits,
missing_dr7q,42,161608.39+514721.0_553219_0.0003,553219,623-52051-499,623,52051,499,623-52051-499,623-52051-499,False,none,catalog_match_but_spectrum_not_downloaded_locally,nan,244.03498999999996,51.78918999999999,161608.39+514721.0,SDSS J161608.40+514721.0,244.034984,51.789194,623,52051,51661,499,0.5717999935150146,0.5717999935150146,0.5726000000000001,0.0003,150.52320900171847,2.1416529328739426,explicit_zcosmos_match,1,0,0,1,nan,,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_52_57.337.fits,
missing_both,43,080731.96+262600.9_547577_0.1,547577,1205-52670-524,1205,52670,524,1205-52670-524,1205-52670-524,False,none,catalog_match_but_spectrum_not_downloaded_locally,nan,121.88316999999998,26.433579999999996,080731.96+262600.9,SDSS J080731.96+262600.8,121.883169,26.433585,1205,52670,52585,524,0.9549999833106995,0.9549999833106995,0.9597000000000001,0.1,150.01547727015912,2.133973054945459,none,0,0,0,0,6.039650688130187,,,
missing_dr7q,44,080719.65+203248.1_554694_0.001,554694,1924-53330-294,1924,53330,294,1924-53330-294,1924-53330-294,False,none,catalog_match_but_spectrum_not_downloaded_locally,nan,121.83189999999999,20.546719999999997,080719.65+203248.1,SDSS J080719.65+203248.2,121.831903,20.546716,1924,53330,53052,294,0.6977999806404114,0.6977999806404114,0.7053,0.001,149.7179812868329,2.1434932635949497,coordinate_fallback,0,0,1,1,0.04869861703272023,826784,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T13_01_01.763.fits,
missing_galaxy,45,154042.89+323307.2_463262_0.0003,463262,1581-53149-475,1581,53149,475,1581-53149-475,1581-53149-475,False,exact_plate_mjd_fiber,,nan,235.17873999999998,32.55202,154042.89+323307.2,SDSS J154042.89+323307.2,235.17874,32.552023,1581,53149,52722,475,0.9259999990463257,0.9259999990463257,0.9173000000000001,0.0003,150.75065616862616,2.0014599522706056,none,0,0,0,0,7.423154665723383,,,/home/nicho/GRAHSP_my/data/dr7q_spectra/spec-1581-53149-0475.fits
