cosmos_id,representative_chimera_id,n_chimeras_in_provenance,host_ra_deg,host_dec_deg,host_redshift,service,failure_reason
459078,085653.91+391824.6_459078_0.03,7,150.29362971799543,1.995619667525847,1.2161999940872192,sdss,no_sdss_match
461197,094549.67+575709.7_461197_0.03,2,150.07217720951152,1.9965724750857041,0.3605000078678131,sdss,no_sdss_match
456589,151215.74+020316.9_456589_0.3,2,150.63605778711892,1.9910501354622743,0.2206999957561493,sdss,no_sdss_match
456589,151215.74+020316.9_456589_0.3,2,150.63605778711892,1.9910501354622743,0.2206999957561493,desi,no_desi_match
460759,155432.68+214348.1_460759_0.0003,20,150.2173704789393,1.9981476230205935,0.2842000126838684,sdss,sdss_query_failed: Number of header columns (1) inconsistent with data columns in data line 13
460759,155432.68+214348.1_460759_0.0003,20,150.2173704789393,1.9981476230205935,0.2842000126838684,desi,no_desi_match
437174,085107.26+403822.9_437174_0.3,2,149.95467423593388,1.9606435685446106,1.5299999713897705,sdss,sdss_query_failed: Number of header columns (1) inconsistent with data columns in data line 13
437174,085107.26+403822.9_437174_0.3,2,149.95467423593388,1.9606435685446106,1.5299999713897705,desi,no_desi_match
435886,133550.35-012439.3_435886_0.03,1,149.9932887549239,1.955947528856227,0.5184999704360962,sdss,sdss_missing_match_coordinates
435886,133550.35-012439.3_435886_0.03,1,149.9932887549239,1.955947528856227,0.5184999704360962,desi,no_desi_match
431978,085850.41+393219.0_431978_1,1,150.59608376878396,1.9507309293647217,0.6118999719619751,sdss,sdss_missing_match_coordinates
431978,085850.41+393219.0_431978_1,1,150.59608376878396,1.9507309293647217,0.6118999719619751,desi,no_desi_match
431890,134947.74+045204.1_431890_0.001,3,150.08294692420662,1.9515916140676708,0.1876000016927719,sdss,sdss_missing_match_coordinates
431890,134947.74+045204.1_431890_0.001,3,150.08294692420662,1.9515916140676708,0.1876000016927719,desi,no_desi_match
400069,083543.04+431309.0_400069_0.3,2,150.16023556851928,1.8992712670438125,0.5277000069618225,sdss,sdss_missing_match_coordinates
400069,083543.04+431309.0_400069_0.3,2,150.16023556851928,1.8992712670438125,0.5277000069618225,desi,no_desi_match
411412,154735.22+361325.9_411412_1,1,149.89013054948438,1.917212347553992,0.5289999842643738,sdss,sdss_missing_match_coordinates
411412,154735.22+361325.9_411412_1,1,149.89013054948438,1.917212347553992,0.5289999842643738,desi,no_desi_match
405366,082520.03+570523.8_405366_0.0003,14,150.35062343977515,1.9098470049148848,3.4600000381469727,sdss,no_sdss_match
405366,082520.03+570523.8_405366_0.0003,14,150.35062343977515,1.9098470049148848,3.4600000381469727,desi,no_desi_match
402870,094225.42+565613.0_402870_0.01,3,149.91984796793207,1.9043593872899658,0.83160001039505,sdss,no_sdss_match
418989,152339.56+123813.9_418989_0.0001,8,150.06363125106566,1.9307237181352483,2.788800001144409,sdss,no_sdss_match
459404,084009.51+402930.5_459404_1,15,150.32593787021824,1.9971696893918955,2.7620999813079834,sdss,no_sdss_match
459404,084009.51+402930.5_459404_1,15,150.32593787021824,1.9971696893918955,2.7620999813079834,desi,no_desi_match
460221,075131.00+502654.3_460221_0.0003,13,150.33473724403174,1.9980039667361136,2.2743000984191895,sdss,no_sdss_match
460221,075131.00+502654.3_460221_0.0003,13,150.33473724403174,1.9980039667361136,2.2743000984191895,desi,no_desi_match
464472,082418.51+382121.4_464472_1,3,150.53869804373716,2.0041786880746724,1.580399990081787,sdss,no_sdss_match
464472,082418.51+382121.4_464472_1,3,150.53869804373716,2.0041786880746724,1.580399990081787,desi,no_desi_match
461772,083559.72+295028.9_461772_0.01,1,149.63082652791587,1.9986433750088928,0.6883000135421753,sdss,no_sdss_match
461772,083559.72+295028.9_461772_0.01,1,149.63082652791587,1.9986433750088928,0.6883000135421753,desi,no_desi_match
463953,145655.80+045331.4_463953_1,1,150.31912614077316,2.002604611219548,0.37209999561309814,sdss,no_sdss_match
457974,081916.28+481745.5_457974_0.01,1,150.26466441503203,1.9945117259468321,0.2199999988079071,sdss,no_sdss_match
457974,081916.28+481745.5_457974_0.01,1,150.26466441503203,1.9945117259468321,0.2199999988079071,desi,no_desi_match
468244,161507.32+185412.0_468244_0.03,4,150.54910013499568,2.0080717636493026,0.6395999789237976,sdss,no_sdss_match
468336,084409.85+111057.3_468336_0.0003,12,150.32198613054,2.0105552566216973,1.410099983215332,sdss,no_sdss_match
468336,084409.85+111057.3_468336_0.0003,12,150.32198613054,2.0105552566216973,1.410099983215332,desi,no_desi_match
